Columns,Name in Table,Meaning,Category,LookUp Table Name if Present,Keep,Why?
Time Period,,,,,,
Year,YEAR,,Required,,,
Quarter,QUARTER,,Required,L_QUARTERS(1-4),,
Month,MONTH,,Required,L_MONTHS(1-12),,
DayofMonth,DAY_OF_MONTH,,Required,,,
DayOfWeek,DAY_OF_WEEK,,Required,L_WEEKDAYS,,
FlightDate,FL_DATE,,Required,,,
Airline,,,,,,
Reporting_Airline,OP_UNIQUE_CARRIER,Airline Codes,Required,L_UNIQUE_CARRIERS,,
Dot_ID_Reporting_Airline,OP_CARRIER_AIRLINE_ID,,Not Required,L_AIRLINE_ID,Not being used anywhere and is the same as Reporting Airline,
IATA_Code_Reporting_Airline,OP_CARRIER,,Not Required,L_CARRIER_HISTORY,Almost same as Reporting Airline but has the active time of flights and previous names,
Tail_Number,TAIL_NUM,Like a license plate for flights,Not Required,,,
Flight_Number_Reporting_Airline,,Flight Number,,,,
Origin,,,,,,
OriginAiportID,,Origin Airport ID,Required,L_AIRPORT_ID,,
OriginAirportSeqID,,Identifies an airport at a specific point in time. Useful when the Airport IDs change,Not Required,L_AIRPORT_SEQ_ID,,
OriginCityMarkertID,,This field consolidate airports serving the same city market,Not Required,L_CITY_MARKET_ID,,
Origin,,Origin Airport,Not Required,L_AIRPORT,,Same as OriginAirportID
OriginCityName,,Origin City Name,Required,,,
OriginState,,Origin State Code,Required,L_STATE_ABR_AVIATION,,
OriginStateFips,,Federal information Processing Standard Code - Unique numeric identifiers for geographics areas in the US used by federal agencies,Not Required,,,
OriginStateName,,Origin State Name,Not Required,L_STATE_FIPS,,Can be derived from Origin State Code
OriginWac,,World Area Code,Not Required,L_WORLD_AREA_CODES,,
Destination,,,,,,
DestAirportID,,Destination Airport ID,Required,L_AIRPORT_ID,,
DestAirportSeqID,,Identifies an airport at a specific point in time. Useful when the Airport IDs change,Not Required,L_AIRPORT_SEQ_ID,,
DestCityMarkertID,,This field consolidate airports serving the same city market,Not Required,L_CITY_MARKET_ID,,
Dest,,Destination Airport,Not Required,L_AIRPORT,,Same as DestAirportID
DestCityName,,Destination City Name,Required,,,
DestState,,Destination State Code,Required,L_STATE_ABR_AVIATION,,
DestStateFips,,Federal information Processing Standard Code - Unique numeric identifiers for geographics areas in the US used by federal agencies,Not Required,,,
DestStateName,,Destination State Name,Not Required,L_STATE_FIPS,,Can be derived from Dest State Code
DestWac,,World Area Code,Not Required,L_WORLD_AREA_CODES,,
Departure Performance,,,,,,
CRSDepTime,,Scheduled Departure Time,Optional,,,
DepTime,,Actual Departure Time,Optional,,,
DepDelay,,Delay in Departure = Actual - Schedules Time. Early departures are shown in -ve number,Optional,,,
DepDelayMinutes,,Delay in Departures. Early departures set to 0,Required,,,
DepDel15,,Departure Delay Indicator. 15 minutes or more = 1 = Yes,Required,L_YESNO_RESP,,
DepartureDelayGroups,,"Departure Delay Intervals: 0 to 12, from -15 to 180 for every 15 minutes",Not Required,L_ONTIME_DELAY_GROUPS,,
DepTimeBlk,,"CRS Departure Time Block, Hourly Intervals",Look More at this,L_DEPARRBLK,,
TaxiOut,,Period an aircraf moves from airport gate to the takeoff runway,Not Required,,,
WheelsOff,,,Not Required,,,
Arrival Performance,,,,,,
WheelsOn,,,Not Required,,,
TaxiIn,,,Not Required,,,
CRSArrTime,,,Optional,,,
ArrTime,,,Optional,,,
ArrDelay,,,Optional,,,
ArrDelayMinutes,,,Required,,,
ArrDel15,,,Required,L_YESNO_RESP,,
ArrivalDelayGroups,,,Not Required,L_ONTIME_DELAY_GROUPS,,
ArrTimeBlk,,,Look More at this,L_DEPARRBLK,,
Cancellations and Diversions,,,,,,
Cancelled,CANCELLED,Cancelled or Not. 1 = YES,Required,L_YESNO_RESP,,
CancellationCode,CANCELLATION_CODE,"Reason for Cancellation. A, B, C, D",Required,L_CANCELLATION,,
Diverted,DIVERTED,Diverted or Not. 1 = YES,Required,L_YESNO_RESP,,
Flight Summaries,,,,,,
CRSElapsedTime,,Interval of schedules departure to schedules arrival,Not Required,,,
ActualElapsedTime,,Interval of actual depature to actual arrival,Optional,,,
AirTime,,Flight Time,Not Required,,,
Flights,,Number of flights,Not Required,,,
Distance,,Distance between airports,Required,,,
DistanceGroups,,Distance Intervals. Every 250 miles,Not Required,L_DISTANCE_GROUP_250,,
Cause of Delay,,,,,,
CarrierDelay,,A of Cancellation Code - Carrier Delay,Required,,,
WeatherDelay,,B of Cancellation Code - Weather Delay,Required,,,
NASDelay,,C of CC - National Air System Delay,Required,,,
SecurityDelay,,D of CC - Security Delay,Required,,,
LateAircraftDelay,,Late Aircraft Delay,Required,,,
Gate Return Information at Origin Airport,,,,,,
FirstDepTime,,When the flight leaves the Gate,Not Required,,,
TotalAddGTime,,,Not Required,,,
LongestAddGTime,,,Not Required,,,
Diverted Airport Information,,,,,,
DivAirportLandings,DIV_AIRPORT_LANDINGS,"Diverted or Not - 0,1,2,3,4,5,9. Where 0 = not diverted, 1-5 = Diverted to Div1 - Div5 and 9 = returned to origin",Required,L_DIVERSIONS,,
DivReachedDest,,Diverted Flight Reaching Scheduled Destination. 1 = YES,Required,L_YESNO_RESP,,
DivActualElapsedTime,,Total Time of Diverted Flight reaching Schedules Destination,Not Required,,,
DivArrDelay,,Time Delay bewtween schedules and actual arrival time for a diverted flight reaching schedules destination ,Required,,,
DivDistance,,Distance between schedules destination and final diverted airport,Required,,,
Div1Airport,,Diverted Airport Code 1,Required,,,
Div1AirportID,,Airport ID,Not Required,,,
Div1AirportSeqID,,,Not Required,,,
Div1WheelsOn,,,Not Required,,,
Div1TotalGTime,,,Not Required,,,
Div1LongestGTime,,,Not Required,,,
Div1WheelsOff,,,Not Required,,,
Div1TailNum,,,Not Required,,,
Div2Airport,,,Required,,,
Div2AirportID,,,Not Required,,,
Div2AirportSeqID,,,Not Required,,,
Div2WheelsOn,,,Not Required,,,
Div2TotalGTime,,,Not Required,,,
Div2LongestGTime,,,Not Required,,,
Div2WheelsOff,,,Not Required,,,
Div2TailNum,,,Not Required,,,
Div3,,,Not Required,,,
Div4,,,Not Required,,,
Div5,,,Not Required,,,
