carrier,total_flights,delay_rate,on_time_rate,avg_arrival_delay,avg_departure_delay,cancellation_rate,airline_name
AA,814968,25.769373192285748,74.23062680771424,22.748004459364793,22.322568780712377,1.916148854924365,American Airlines Inc.
AS,204734,22.949215371308537,77.05078462869146,13.082741192210495,12.164250586926974,1.1766487246866666,Alaska Airlines Inc.
B6,191035,25.110819720867024,74.88918027913299,20.030403190122563,19.807319675742825,1.3955557882063496,JetBlue Airways
DL,856718,19.39487911239204,80.60512088760797,15.075209844415818,15.050334124494928,0.8560576525764604,Delta Air Lines Inc.
F9,164294,27.90086020174516,72.09913979825484,24.37382650213927,24.004746580852775,1.6458300363981642,Frontier Airlines Inc.
G4,109731,24.43954394890471,75.56045605109529,22.13062947329785,21.031275735226835,0.40553717727898225,Allegiant Air
HA,66953,16.08239046701974,83.91760953298026,10.131141368195921,9.507221954742416,0.73036309052619,Hawaiian Airlines Inc.
MQ,249202,21.041917541143416,78.95808245885658,14.277973090634292,12.626305571256543,2.028876172743397,Envoy Air
NK,170922,20.535846596129335,79.46415340387067,16.0122316347262,16.030129516019088,1.2970828799101344,Spirit Air Lines
OH,208484,26.896166110044884,73.10383388995511,25.254584398395586,24.228602803761856,4.779743289652923,PSA Airlines Inc.
OO,702660,20.29511960731282,79.70488039268719,17.335653948751112,16.370517962676303,1.0747730054364841,SkyWest Airlines Inc.
UA,662715,21.347771130793486,78.65222886920651,16.49203047722525,15.612350005551829,0.7958172064914782,United Air Lines Inc.
WN,1159872,21.134408102219783,78.86559189778022,13.29145840720609,14.685135183284565,0.7910355625448325,Southwest Airlines Co.
YX,286477,20.30507852026835,79.69492147973165,15.324260927305271,13.384344200015125,3.0641203307769906,Republic Airline
