origin_airport_id,total_flights,avg_departure_delay,delay_rate,airport_id,airport_name,iata_code,latitude,longitude
10135,2493,15.173030056864338,15.150284321689684,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ABE,40.65166667,-75.44277778
10136,1471,12.284818941504179,16.991643454038996,10136,"Abilene, TX: Abilene Regional",ABI,32.40833333,-99.6825
10140,21133,13.25062082139446,17.335243553008596,10140,"Albuquerque, NM: Albuquerque International Sunport",ABQ,35.03805556,-106.61
10141,622,15.516908212560386,8.695652173913043,10141,"Aberdeen, SD: Aberdeen Regional",ABR,45.44666667,-98.42305556
10146,792,22.541720154043645,15.789473684210526,10146,"Albany, GA: Southwest Georgia Regional",ABY,31.53555556,-84.19444444
10154,1582,21.16434724983433,22.86282306163022,10154,"Nantucket, MA: Nantucket Memorial",ACK,41.25333333,-70.06055556
10155,912,21.37528604118993,21.62471395881007,10155,"Waco, TX: Waco Regional",ACT,31.60416667,-97.22972222
10157,1627,21.307407407407407,14.506172839506174,10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",ACV,40.97777778,-124.10833333
10158,2305,12.100436681222707,14.148471615720522,10158,"Atlantic City, NJ: Atlantic City International",ACY,39.45916667,-74.57861111
10165,87,9.316455696202532,13.924050632911392,10165,"Adak Island, AK: Adak",ADK,51.88361111,-176.6425
10170,746,11.033103448275861,14.896551724137929,10170,"Kodiak, AK: Kodiak Airport",ADQ,57.74972222,-152.49388889
10185,928,20.683257918552037,20.92760180995475,10185,"Alexandria, LA: Alexandria International",AEX,31.32333333,-92.54694444
10208,1844,20.366275823562255,23.33891680625349,10208,"Augusta, GA: Augusta Regional at Bush Field",AGS,33.37,-81.96444444
10245,166,4.381818181818182,9.696969696969697,10245,"King Salmon, AK: King Salmon Airport",AKN,58.67805556,-156.65194444
10257,10422,17.972477064220183,18.983017763029476,10257,"Albany, NY: Albany International",ALB,42.74916667,-73.80472222
10268,280,14.340501792114695,17.20430107526882,10268,"Waterloo, IA: Waterloo Regional",ALO,42.56055556,-92.4025
10279,4385,16.576145082538943,18.15856777493606,10279,"Amarillo, TX: Rick Husband Amarillo International",AMA,35.23166667,-101.69916667
10299,16223,10.82901780156853,15.710195443794348,10299,"Anchorage, AK: Ted Stevens Anchorage International",ANC,61.17416667,-149.99805556
10333,523,14.743589743589743,12.03155818540434,10333,"Alpena, MI: Alpena County Regional",APN,45.07805556,-83.56027778
10372,6554,35.19220146222583,33.988627132412674,10372,"Aspen, CO: Aspen Pitkin County Sardy Field",ASE,39.22194444,-106.86833333
10397,262781,16.88170824758954,23.552760372108796,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,33.63666667,-84.42805556
10408,6189,17.25696140693698,17.86354014004234,10408,"Appleton, WI: Appleton International",ATW,44.25805556,-88.51916667
10409,183,23.81967213114754,19.12568306010929,10409,"Watertown, SD: Watertown Regional",ATY,44.91388889,-97.15472222
10423,71857,17.558369641602248,23.0695713281799,10423,"Austin, TX: Austin - Bergstrom International",AUS,30.19444444,-97.67
10431,8687,19.272343914724143,22.49033618367108,10431,"Asheville, NC: Asheville Regional",AVL,35.43611111,-82.54194444
10434,1247,17.963904840032814,15.586546349466776,10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",AVP,41.34027778,-75.72166667
10466,5345,10.238710886265693,16.076447442383362,10466,"Phoenix, AZ: Mesa Gateway",AZA,33.30777778,-111.65527778
10469,1279,15.84560570071259,16.468725257323833,10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International",AZO,42.23583333,-85.55388889
10529,19441,15.629324289068615,17.959822593268978,10529,"Hartford, CT: Bradley International",BDL,41.93916667,-72.68444444
10551,605,13.899830220713072,24.95755517826825,10551,"Bethel, AK: Bethel Airport",BET,60.77861111,-161.83722222
10558,521,32.93491124260355,25.2465483234714,10558,"Scottsbluff, NE: Scottsbluff W Neb Regional Wm B Heilig Field",BFF,41.87416667,-103.59555556
10561,2495,13.45776347546259,13.032984714400644,10561,"Bakersfield, CA: Meadows Field",BFL,35.43361111,-119.0575
10577,178,17.43258426966292,16.292134831460675,10577,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",BGM,42.20833333,-75.97972222
10581,3345,22.214064436183396,20.50805452292441,10581,"Bangor, ME: Bangor International",BGR,44.8075,-68.82805556
10599,14087,17.053378720938653,19.258347215180706,10599,"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,33.56388889,-86.75222222
10617,258,12.747081712062256,17.509727626459142,10617,"Bishop, CA: Bishop Airport",BIH,37.37305556,-118.36361111
10620,4126,15.300146412884335,14.8365056124939,10620,"Billings, MT: Billings Logan International",BIL,45.80777778,-108.54361111
10627,3624,20.32852386237514,20.28301886792453,10627,"Bismarck/Mandan, ND: Bismarck Municipal",BIS,46.76861111,-100.74138889
10631,607,11.986733001658374,9.78441127694859,10631,"Bemidji, MN: Bemidji Regional",BJI,47.51083333,-94.93472222
10666,2020,8.20428500249128,11.80866965620329,10666,"Bellingham, WA: Bellingham International",BLI,48.79277778,-122.5375
10676,1181,26.05191489361702,27.914893617021274,10676,"Belleville, IL: Scott AFB MidAmerica St Louis",BLV,38.54527778,-89.83527778
10685,1393,13.623913043478261,15.797101449275363,10685,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",BMI,40.47777778,-88.91027778
10693,87616,16.92380732088128,23.890591568842883,10693,"Nashville, TN: Nashville International",BNA,36.12388889,-86.67777778
10713,19556,10.133966136480247,14.279117496151873,10713,"Boise, ID: Boise Air Terminal",BOI,43.56444444,-116.22277778
10721,120226,17.892508556217518,22.541936029070015,10721,"Boston, MA: Logan International",BOS,42.36305556,-71.00694444
10728,606,21.711571675302245,15.716753022452504,10728,"Beaumont/Port Arthur, TX: Jack Brooks Regional",BPT,29.95333333,-94.02416667
10732,1874,13.810372771474878,18.962722852512158,10732,"Aguadilla, PR: Rafael Hernandez",BQN,18.49472222,-67.12944444
10739,524,17.137404580152673,13.358778625954198,10739,"Brainerd, MN: Brainerd Lakes Regional",BRD,46.40416667,-94.13361111
10747,1317,17.80551181102362,20.078740157480315,10747,"Brownsville, TX: Brownsville South Padre Island International",BRO,25.91083333,-97.42916667
10754,303,16.2233676975945,26.11683848797251,10754,"Barrow, AK: Wiley Post/Will Rogers Memorial",BRW,71.28472222,-156.76861111
10779,589,13.078632478632478,10.598290598290598,10779,"Butte, MT: Bert Mooney",BTM,45.95111111,-112.49555556
10781,3594,21.938381802476247,21.62395623380363,10781,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",BTR,30.53305556,-91.15
10785,5789,24.399107142857144,20.267857142857142,10785,"Burlington, VT: Patrick Leahy Burlington International",BTV,44.47194444,-73.15333333
10792,17266,16.571285436435435,19.856191430423763,10792,"Buffalo, NY: Buffalo Niagara International",BUF,42.94055556,-78.73055556
10800,25458,11.747723024301,17.165811557888873,10800,"Burbank, CA: Bob Hope",BUR,34.20055556,-118.35861111
10821,80516,17.6184765236651,25.591784855844857,10821,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,39.17583333,-76.66888889
10849,9450,17.938345224150783,20.540943456500905,10849,"Bozeman, MT: Bozeman Yellowstone International",BZN,45.77722222,-111.15027778
10868,4610,18.59304932735426,20.47085201793722,10868,"Columbia, SC: Columbia Metropolitan",CAE,33.93888889,-81.11944444
10874,3476,23.307826592958975,19.81379109688682,10874,"Akron, OH: Akron-Canton Regional",CAK,40.91666667,-81.44083333
10918,523,4.592734225621415,5.544933078393881,10918,"Cedar City, UT: Cedar City Regional",CDC,37.70194444,-113.09805556
10926,606,7.324958123953099,14.572864321608039,10926,"Cordova, AK: Merle K Mudhole Smith",CDV,60.49166667,-145.4775
10980,4345,24.81910617167179,24.237408370773235,10980,"Chattanooga, TN: Lovell Field",CHA,35.03777778,-85.20194444
10990,1103,22.05083179297597,20.70240295748614,10990,"Charlottesville, VA: Charlottesville Albemarle",CHO,38.13972222,-78.45222222
10994,20522,17.96855377255058,20.4824080534237,10994,"Charleston, SC: Charleston AFB/International",CHS,32.89861111,-80.04055556
11003,6788,18.250149342891277,18.71266427718041,11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",CID,41.88472222,-91.71083333
11013,744,18.97289972899729,19.241192411924118,11013,"Sault Ste. Marie, MI: Chippewa County International",CIU,46.255,-84.47694444
11027,185,70.62222222222222,51.11111111111111,11027,"Clarksburg/Fairmont, WV: North Central West Virginia",CKB,39.29777778,-80.2275
11041,519,6.127413127413128,8.494208494208493,11041,"Carlsbad, CA: McClellan-Palomar",CLD,33.12833333,-117.28
11042,33478,15.206405153292213,17.58682507368357,11042,"Cleveland, OH: Cleveland-Hopkins International",CLE,41.41027778,-81.85333333
