carrier,total_flights,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_late_aircraft_delay,avg_security_delay,total_carrier_delay_mins,total_weather_delay_mins,total_nas_delay_mins,total_late_aircraft_delay_mins,total_security_delay_mins,airline_name,pct_carrier_delay,pct_weather_delay,pct_nas_delay,pct_late_aircraft_delay,pct_security_delay
AA,814968,6.8819291064189025,1.3454589628059015,3.2980411500819664,9.709988613049838,0.02460219296953991,5608552.0,1096506.0,2687798.0,7913330.0,20050.0,American Airlines Inc.,32.37,6.33,15.51,45.67,0.12
AS,204734,3.250373655572597,0.4008518370177889,3.2652563814510533,4.644646223880743,0.058783592368634424,665462.0,82068.0,668509.0,950917.0,12035.0,Alaska Airlines Inc.,27.97,3.45,28.1,39.97,0.51
B6,191035,4.98960399926715,0.5462402177611433,5.525547674509906,7.714701494490538,0.02837699897924464,953189.0,104351.0,1055573.0,1473778.0,5421.0,JetBlue Airways,26.53,2.9,29.38,41.03,0.15
DL,856718,6.015998263139096,0.7430706486848648,2.945344909293373,4.309758870480135,0.008313120536746047,5154014.0,636602.0,2523330.0,3692248.0,7122.0,Delta Air Lines Inc.,42.9,5.3,21.0,30.73,0.06
F9,164294,6.462408852423096,0.7404348302433442,4.350195381450327,11.486761537244208,0.0,1061735.0,121649.0,714711.0,1887206.0,0.0,Frontier Airlines Inc.,28.05,3.21,18.88,49.86,0.0
G4,109731,6.400060147086967,2.4511122654491437,3.7084871184988746,8.399613600532211,0.0893822165112867,702285.0,268963.0,406936.0,921698.0,9808.0,Allegiant Air,30.41,11.64,17.62,39.91,0.42
HA,66953,5.194718683255418,0.25444714949292785,0.09393156393290816,2.7650590712888143,0.04308992875599301,347802.0,17036.0,6289.0,185129.0,2885.0,Hawaiian Airlines Inc.,62.2,3.05,1.12,33.11,0.52
MQ,249202,2.694597154115938,1.5365085352445005,3.038085569136684,5.636933090424636,0.014903572202470286,671499.0,382901.0,757097.0,1404735.0,3714.0,Envoy Air,20.85,11.89,23.51,43.63,0.12
NK,170922,3.6741379108599244,0.4866722832637109,7.0892687892723,3.6595055054352277,0.04423655234551433,627991.0,83183.0,1211712.0,625490.0,7561.0,Spirit Air Lines,24.57,3.25,47.41,24.47,0.3
OH,208484,6.732583795399167,1.8264519099787033,3.1544051342069417,11.356271944130006,0.03007425030218146,1403636.0,380786.0,657643.0,2367601.0,6270.0,PSA Airlines Inc.,29.15,7.91,13.66,49.16,0.13
OO,702660,7.850226282981812,2.2150542225258305,2.825049099137563,3.2738266017704154,0.023375458970198958,5516040.0,1556430.0,1985049.0,2300387.0,16425.0,SkyWest Airlines Inc.,48.5,13.68,17.45,20.22,0.14
UA,662715,3.979771093154674,0.8500109398459368,4.922769214519062,5.5772300310088045,0.0010849309280761715,2637454.0,563315.0,3262393.0,3696114.0,719.0,United Air Lines Inc.,25.96,5.54,32.11,36.38,0.01
WN,1159872,3.152322842520554,0.3964532293218562,2.33403685923964,6.1447047605253,0.025269167632290458,3656291.0,459835.0,2707184.0,7127071.0,29309.0,Southwest Airlines Co.,26.15,3.29,19.37,50.98,0.21
YX,286477,3.3534210425269744,0.8363638267644523,4.921620234783246,4.860739256554627,0.008953598369153545,960678.0,239599.0,1409931.0,1392490.0,2565.0,Republic Airline,23.99,5.98,35.2,34.77,0.06
